"","cluster_id","sample_id","group_id"
"cell1","CD14+ Monocytes","ctrl101.A","A"
"cell2","CD4 T cells","ctrl101.A","A"
"cell3","CD14+ Monocytes","ctrl101.A","A"
"cell4","CD14+ Monocytes","ctrl101.A","A"
"cell5","CD14+ Monocytes","ctrl101.A","A"
"cell6","CD4 T cells","ctrl101.A","A"
"cell7","CD14+ Monocytes","ctrl101.A","A"
"cell8","CD14+ Monocytes","ctrl101.A","A"
"cell9","CD4 T cells","ctrl101.A","A"
"cell10","CD14+ Monocytes","ctrl101.A","A"
"cell11","CD14+ Monocytes","ctrl101.A","A"
"cell12","CD4 T cells","ctrl101.A","A"
"cell13","CD4 T cells","ctrl101.A","A"
"cell14","CD14+ Monocytes","ctrl101.A","A"
"cell15","CD14+ Monocytes","ctrl101.A","A"
"cell16","CD4 T cells","ctrl101.A","A"
"cell17","CD4 T cells","ctrl101.B","B"
"cell18","CD4 T cells","ctrl101.A","A"
"cell19","CD14+ Monocytes","ctrl101.A","A"
"cell20","CD4 T cells","ctrl107.A","A"
"cell21","CD14+ Monocytes","ctrl101.A","A"
"cell22","CD14+ Monocytes","ctrl101.A","A"
"cell23","CD14+ Monocytes","ctrl101.A","A"
"cell24","CD4 T cells","ctrl107.B","B"
"cell25","CD4 T cells","ctrl101.A","A"
"cell26","CD14+ Monocytes","ctrl107.A","A"
"cell27","CD14+ Monocytes","ctrl101.A","A"
"cell28","CD4 T cells","ctrl101.A","A"
"cell29","CD14+ Monocytes","ctrl101.A","A"
"cell30","CD14+ Monocytes","ctrl101.A","A"
"cell31","CD4 T cells","ctrl101.A","A"
"cell32","CD4 T cells","ctrl101.A","A"
"cell33","CD4 T cells","ctrl101.A","A"
"cell34","CD4 T cells","ctrl101.A","A"
"cell35","CD14+ Monocytes","ctrl101.A","A"
"cell36","CD4 T cells","ctrl101.A","A"
"cell37","CD14+ Monocytes","ctrl101.A","A"
"cell38","CD4 T cells","ctrl101.A","A"
"cell39","CD4 T cells","ctrl101.A","A"
"cell40","CD4 T cells","ctrl101.A","A"
"cell41","CD14+ Monocytes","ctrl101.A","A"
"cell42","CD4 T cells","ctrl101.A","A"
"cell43","CD14+ Monocytes","ctrl101.A","A"
"cell44","CD4 T cells","ctrl101.A","A"
"cell45","CD4 T cells","ctrl101.A","A"
