,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10,e-100
n_cells,100.0,90.61,75.57,59.68,44.65,32.57,22.65,16.09,11.56,8.21,5.45,0.66
0,100.0,83.33,50.0,50.0,33.33,,,,,,,
1,100.0,87.03,67.58,46.08,30.38,17.75,11.26,6.14,4.44,2.05,0.68,
2,100.0,82.76,68.97,42.53,14.94,8.05,5.75,3.45,1.15,,,
3,100.0,92.04,69.03,53.98,33.63,20.35,6.19,3.54,0.88,,,
4,100.0,94.59,86.49,75.68,67.57,62.16,45.95,40.54,32.43,16.22,10.81,
5,100.0,75.0,58.33,58.33,41.67,41.67,41.67,33.33,33.33,16.67,16.67,
6,100.0,87.93,67.24,58.62,48.28,37.07,31.9,23.28,18.97,13.79,10.34,5.17
7,100.0,96.15,92.31,88.46,76.92,69.23,57.69,38.46,15.38,7.69,3.85,
8,100.0,95.0,95.0,85.0,75.0,75.0,55.0,40.0,40.0,35.0,25.0,5.0
9,100.0,92.16,86.27,80.39,74.51,62.75,49.02,43.14,31.37,29.41,23.53,1.96
10,100.0,91.43,82.86,67.62,55.24,43.81,34.29,24.76,17.14,11.43,8.57,
11,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,
12,100.0,93.45,79.27,63.64,48.0,32.36,19.27,13.45,8.73,5.82,1.82,
13,100.0,92.37,75.9,57.83,41.77,29.32,18.47,14.06,10.84,9.64,7.23,0.8
14,100.0,92.97,85.94,74.22,63.28,51.56,39.84,25.0,17.19,11.72,7.81,
