,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10,e-100
n_cells,100.0,89.36,73.88,60.6,49.46,36.62,26.7,20.77,16.2,12.56,9.71,1.43
0,100.0,82.26,61.83,48.92,38.17,26.34,17.2,11.83,8.06,5.38,3.76,
1,100.0,90.71,73.22,53.55,39.34,20.77,14.21,9.29,7.1,5.46,4.37,0.55
2,100.0,87.01,71.43,58.44,44.16,32.47,19.48,14.29,9.09,6.49,3.9,
3,100.0,94.43,83.3,74.61,68.15,55.46,44.99,36.53,30.29,23.83,18.71,3.12
4,100.0,87.5,58.33,35.42,20.83,16.67,6.25,6.25,4.17,4.17,2.08,
5,100.0,95.0,72.5,55.0,35.0,10.0,2.5,2.5,2.5,2.5,2.5,
6,100.0,84.35,70.43,57.39,41.74,32.17,20.87,14.78,10.43,8.7,5.22,
7,100.0,95.45,81.82,61.36,50.0,40.91,31.82,29.55,25.0,22.73,20.45,6.82
8,100.0,86.67,72.67,60.67,48.0,34.67,25.33,19.33,14.67,12.0,10.0,1.33
9,100.0,85.32,67.89,52.29,40.37,30.28,17.43,12.84,7.34,2.75,1.83,
