,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10
n_cells,100.0,90.76,78.28,64.38,50.08,39.42,29.07,20.54,14.22,8.29,6.24
0,100.0,100.0,100.0,92.11,81.58,73.68,63.16,44.74,34.21,26.32,18.42
1,100.0,93.75,78.12,71.88,59.38,40.62,31.25,18.75,9.38,3.12,
2,100.0,90.91,85.45,70.91,50.91,40.0,29.09,25.45,23.64,14.55,12.73
3,100.0,93.07,77.23,65.35,50.5,36.63,24.75,11.88,4.95,1.98,0.99
4,100.0,95.59,91.18,85.29,83.82,77.94,66.18,60.29,51.47,22.06,14.71
5,100.0,46.67,40.0,33.33,20.0,13.33,6.67,6.67,,,
6,100.0,89.84,78.91,61.72,43.75,32.03,21.88,11.72,5.47,3.12,
7,100.0,94.51,84.62,73.63,59.89,50.0,41.76,31.87,22.53,13.74,10.44
8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,100.0,94.2,88.41,69.57,50.72,43.48,34.78,24.64,18.84,17.39,15.94
10,100.0,90.8,77.01,60.92,49.43,32.18,21.84,18.39,11.49,6.9,4.6
11,100.0,82.0,66.0,60.0,50.0,40.0,32.0,26.0,22.0,16.0,16.0
12,100.0,89.42,70.07,49.64,31.39,21.9,12.77,5.47,2.92,1.46,1.46
13,100.0,88.2,75.16,63.98,52.8,42.24,26.71,18.01,9.32,2.48,1.24
