,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10,e-100
n_cells,100.0,88.35,73.81,59.7,47.9,35.37,27.06,18.97,12.36,7.98,5.3,0.38
0,100.0,94.0,82.0,62.0,56.0,48.0,38.0,32.0,24.0,14.0,6.0,
1,100.0,80.26,51.32,39.47,26.32,19.74,11.84,9.21,3.95,1.32,,
2,100.0,89.63,76.83,62.8,52.44,35.98,28.66,20.73,14.02,9.76,9.76,
3,100.0,94.24,79.14,67.63,47.48,34.53,25.18,17.99,13.67,10.79,9.35,1.44
4,100.0,89.93,75.54,63.31,46.04,32.37,25.9,18.71,10.07,4.32,2.16,
5,100.0,88.37,79.07,58.14,45.35,38.37,26.74,18.6,9.3,8.14,3.49,
6,100.0,92.31,76.33,63.31,50.89,36.69,28.99,18.34,9.47,7.69,4.73,
7,100.0,86.29,68.0,51.43,40.0,30.86,22.86,14.29,8.0,4.57,2.86,
8,100.0,91.67,68.75,60.42,50.0,41.67,35.42,27.08,18.75,14.58,8.33,
9,100.0,75.0,66.18,51.47,39.71,27.94,14.71,8.82,4.41,2.94,1.47,
10,100.0,89.47,78.95,68.42,47.37,47.37,26.32,21.05,15.79,5.26,5.26,5.26
11,100.0,83.33,70.83,55.56,48.61,33.33,27.78,22.22,12.5,8.33,5.56,
12,100.0,80.95,71.43,52.38,52.38,42.86,42.86,38.1,38.1,23.81,14.29,
13,100.0,96.0,90.0,90.0,80.0,68.0,62.0,48.0,38.0,28.0,16.0,2.0
14,100.0,80.39,66.67,54.9,47.06,29.41,21.57,17.65,11.76,9.8,7.84,
15,100.0,88.64,70.45,52.27,45.45,31.82,25.0,13.64,11.36,9.09,6.82,
16,100.0,88.33,80.0,68.33,60.0,43.33,35.0,33.33,23.33,8.33,5.0,1.67
17,100.0,84.42,72.73,51.95,42.86,29.87,22.08,14.29,7.79,6.49,5.19,1.3
18,100.0,92.54,74.63,59.7,50.75,25.37,14.93,8.96,2.99,1.49,1.49,
19,100.0,88.75,73.75,53.75,43.75,37.5,31.25,15.0,13.75,6.25,2.5,
20,100.0,90.0,78.0,72.0,62.0,54.0,46.0,36.0,26.0,14.0,8.0,
21,100.0,90.0,77.14,64.29,52.86,41.43,28.57,12.86,8.57,7.14,5.71,1.43
22,100.0,85.19,70.37,55.56,38.89,20.37,12.96,9.26,5.56,1.85,,
