,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10,e-100
n_cells,100.0,97.05,94.22,90.61,86.74,82.67,77.94,73.01,68.75,63.82,59.68,40.32
0,100.0,99.07,99.07,99.07,98.15,98.15,98.15,98.15,98.15,98.15,98.15,95.37
1,100.0,98.65,89.19,77.03,66.22,55.41,48.65,31.08,27.03,21.62,18.92,1.35
2,100.0,86.42,75.31,66.67,60.49,55.56,50.62,43.21,32.1,20.99,18.52,3.7
3,100.0,100.0,100.0,97.78,97.78,96.67,93.33,93.33,90.0,87.78,84.44,54.44
4,100.0,97.37,93.86,89.47,83.33,78.07,70.18,64.04,57.02,51.75,47.37,25.44
5,100.0,100.0,97.92,95.83,91.67,89.58,77.08,70.83,68.75,62.5,56.25,8.33
6,100.0,100.0,100.0,99.63,99.27,99.27,98.9,95.6,94.87,90.84,88.64,62.64
7,100.0,99.57,97.84,97.41,96.12,93.97,92.67,91.38,90.52,87.5,84.91,75.43
8,100.0,87.67,76.71,68.49,60.27,52.05,36.99,32.88,28.77,17.81,12.33,
9,100.0,95.83,93.75,72.92,68.75,56.25,45.83,43.75,33.33,27.08,22.92,
10,100.0,92.86,92.86,92.86,89.29,82.14,78.57,67.86,46.43,25.0,3.57,
11,100.0,95.19,93.58,87.17,77.54,68.98,61.5,50.8,41.71,36.36,28.88,7.49
12,100.0,96.15,88.46,88.46,76.92,65.38,50.0,38.46,26.92,23.08,7.69,
13,100.0,100.0,99.05,99.05,98.1,96.19,94.29,92.38,91.43,88.57,85.71,59.05
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,71.43,71.43,71.43,42.86
15,100.0,82.35,70.59,70.59,64.71,52.94,35.29,35.29,29.41,23.53,17.65,
16,100.0,83.33,75.0,66.67,66.67,66.67,58.33,50.0,50.0,41.67,25.0,
