,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10,e-100
n_cells,100.0,92.84,86.0,78.79,70.75,63.42,55.77,48.77,43.3,38.16,32.04,9.19
0,100.0,87.27,72.73,54.55,49.09,38.18,34.55,27.27,23.64,20.0,16.36,1.82
1,100.0,92.04,91.15,87.61,80.53,70.8,59.29,52.21,46.02,39.82,31.86,9.73
2,100.0,93.06,80.56,69.44,59.72,52.78,41.67,29.17,23.61,18.06,11.11,
3,100.0,96.67,95.0,91.67,88.33,84.44,81.67,74.44,72.22,68.89,63.89,27.78
4,100.0,86.08,75.95,59.49,50.63,35.44,25.32,17.72,15.19,10.13,3.8,
5,100.0,91.95,80.46,73.56,65.52,56.32,50.57,42.53,37.93,35.63,26.44,3.45
6,100.0,90.32,79.03,74.19,62.9,53.23,40.32,24.19,19.35,14.52,8.06,
7,100.0,70.0,53.33,46.67,16.67,6.67,3.33,3.33,3.33,3.33,3.33,
8,100.0,91.55,77.46,64.79,49.3,39.44,30.99,22.54,18.31,16.9,12.68,
9,100.0,97.12,92.09,84.89,77.7,64.75,53.24,46.04,35.97,29.5,23.02,4.32
10,100.0,81.82,70.45,54.55,38.64,36.36,27.27,15.91,15.91,15.91,11.36,
11,100.0,98.44,92.19,89.06,87.5,84.38,75.0,70.31,62.5,57.81,53.12,18.75
12,100.0,88.71,82.26,79.03,72.58,64.52,61.29,61.29,56.45,53.23,46.77,12.9
13,100.0,88.37,72.09,65.12,48.84,46.51,39.53,34.88,25.58,25.58,18.6,2.33
14,100.0,94.85,91.18,83.82,73.53,69.85,60.29,50.0,41.18,30.88,25.0,2.21
15,100.0,96.21,93.36,89.1,83.89,79.62,73.46,67.3,61.61,52.61,45.97,16.11
16,100.0,86.21,68.97,65.52,55.17,44.83,41.38,31.03,17.24,6.9,6.9,
17,100.0,90.0,78.75,66.25,54.37,46.88,36.88,31.25,26.25,20.62,16.88,3.12
18,100.0,97.4,95.83,92.19,89.06,82.29,77.08,73.96,69.27,66.15,56.77,17.71
